rank,feature,perm_importance,grad_importance,variance,zero_rate,mean,std
187,B3_slot_3,0.00000000,0.00208263,0.00000000,0.0000,1.000000,0.000000
188,B3_slot_4,0.00000000,0.00179420,0.00000000,1.0000,0.000000,0.000000
189,B3_fallback_flag,0.00000000,0.00260191,0.00000000,1.0000,0.000000,0.000000
190,B3_slot_6,0.00000000,0.00220564,0.00000000,1.0000,0.000000,0.000000
191,B2_slot_2,0.00000000,0.00214706,0.00000000,0.0000,1.000000,0.000000
192,B1_slot_1,0.00000000,0.00209007,0.00000000,0.0000,1.000000,0.000000
193,B1_slot_6,0.00000000,0.00186434,0.00000000,1.0000,0.000000,0.000000
194,B2_class_B2,-0.00000019,0.00234139,0.03346489,0.9653,0.034667,0.182934
195,B6_approach_1,-0.00000067,0.01053976,0.00166389,0.9983,0.001667,0.040791
196,B2_approach_6,-0.00000136,0.00332498,0.00133156,0.9987,0.001333,0.036490
197,G_month,-0.00000138,0.00262221,0.00150692,0.0000,0.223472,0.038819
198,G_water_temperature,-0.00000169,0.00996510,0.00104186,0.0000,0.283148,0.032278
199,B3_class_B2,-0.00000718,0.00246725,0.03253322,0.9663,0.033667,0.180370
200,B3_approach_6,-0.00001094,0.00733165,0.00497500,0.9950,0.005000,0.070534
201,B2_win_rate_rel,-0.00002537,0.00283860,0.78775418,0.0003,0.104305,0.887555
202,B4_approach_3,-0.00002782,0.01608575,0.01638889,0.9833,0.016667,0.128019
203,B5_class_B2,-0.00004315,0.00543900,0.09423822,0.8947,0.105333,0.306982
204,B6_win_rate_rel,-0.00004764,0.00449634,1.63628292,0.0000,-0.264948,1.279173
205,B6_local_win_rate,-0.00005066,0.00328749,5.87862968,0.1637,4.244980,2.424588
206,B2_local_win_rate,-0.00008128,0.00260185,4.74582815,0.1250,4.604440,2.178492
207,B4_local_win_rate,-0.00018437,0.00380686,5.05245829,0.1337,4.459340,2.247767
208,B5_local_win_rate,-0.00024273,0.00195769,5.40887213,0.1493,4.287273,2.325698
